condition_id,profile_id,oracle_package,tree_package,tree_direct,tree_ood,lut_package,selected_seed,seed_source,seed_safe,seed_regret,mandatory_search_candidates,deployment_action
blind_gain_memory_qam16_bw20_bo058_seed41,blind_gain_memory,1,1,1,0,1,1,tree,1,0.000000,14,fallback_14
blind_gain_memory_qam16_bw20_bo058_seed53,blind_gain_memory,1,1,1,0,1,1,tree,1,0.000000,14,fallback_14
blind_gain_memory_qam16_bw20_bo058_seed67,blind_gain_memory,1,1,1,0,1,1,tree,1,0.000000,14,fallback_14
blind_gain_memory_qam16_bw20_bo070_seed41,blind_gain_memory,5,6,0,0,6,6,fallback_default,0,0.000000,14,fallback_14
blind_gain_memory_qam16_bw20_bo070_seed53,blind_gain_memory,6,6,0,0,6,6,fallback_default,0,0.000000,14,fallback_14
blind_gain_memory_qam16_bw20_bo070_seed67,blind_gain_memory,6,6,0,0,6,6,fallback_default,0,0.000000,14,fallback_14
blind_gain_memory_qam16_bw40_bo058_seed41,blind_gain_memory,2,1,1,0,1,1,tree,1,978.000000,14,fallback_14
blind_gain_memory_qam16_bw40_bo058_seed53,blind_gain_memory,1,6,0,1,1,1,lut,1,0.000000,14,fallback_14
blind_gain_memory_qam16_bw40_bo058_seed67,blind_gain_memory,2,1,1,0,1,1,tree,1,1267.000000,14,fallback_14
blind_gain_memory_qam16_bw40_bo070_seed41,blind_gain_memory,5,6,0,0,5,5,lut,1,0.000000,14,fallback_14
blind_gain_memory_qam16_bw40_bo070_seed53,blind_gain_memory,5,6,0,0,5,5,lut,1,0.000000,14,fallback_14
blind_gain_memory_qam16_bw40_bo070_seed67,blind_gain_memory,6,6,0,0,5,5,lut,0,0.000000,14,fallback_14
blind_gain_memory_qam64_bw20_bo058_seed41,blind_gain_memory,1,1,1,0,1,1,tree,1,0.000000,14,fallback_14
blind_gain_memory_qam64_bw20_bo058_seed53,blind_gain_memory,2,1,1,0,1,1,tree,1,670.000000,14,fallback_14
blind_gain_memory_qam64_bw20_bo058_seed67,blind_gain_memory,2,1,1,0,1,1,tree,1,356.000000,14,fallback_14
blind_gain_memory_qam64_bw20_bo070_seed41,blind_gain_memory,4,4,1,0,5,4,tree,1,0.000000,14,fallback_14
blind_gain_memory_qam64_bw20_bo070_seed53,blind_gain_memory,5,6,0,0,5,5,lut,1,0.000000,14,fallback_14
blind_gain_memory_qam64_bw20_bo070_seed67,blind_gain_memory,5,6,0,0,5,5,lut,1,0.000000,14,fallback_14
blind_gain_memory_qam64_bw40_bo058_seed41,blind_gain_memory,1,1,1,0,1,1,tree,1,0.000000,14,fallback_14
