scenario_id,dsm_config_id,missing_features,known_ood_features,strict_package,strict_action,strict_ood,policy_cost,local_search_final_cost,full_search_final_cost,recorded_search_benefit,feature_0_q20,feature_1_q20,feature_2_q20,feature_3_q20,feature_4_q20,feature_5_q20,feature_6_q20,feature_7_q20,feature_8_q20,feature_9_q20,feature_10_q20,feature_11_q20,feature_12_q20
board_ef2_1bit_osr32_interp0_nominal_qam16_bw20_bo58,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,344139,342590,339615,1549,262144,524288,608174,0,4048098,1049056,1632176,1043968,699051,476625,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam16_bw20_bo70,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,393386,388226,386422,5160,262144,524288,734003,0,3354147,1049056,1646981,1055232,2029502,17772,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam16_bw40_bo58,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,305773,305773,305724,0,262144,1048576,608174,0,4656749,1049056,1565796,1015808,454804,29959,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam16_bw40_bo70,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,348529,345878,340412,2651,262144,1048576,734003,0,3858450,1049056,1577188,1047552,1027176,6141659,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam64_bw20_bo58,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,315288,313753,313318,1535,1048576,524288,608174,0,4632455,1049056,1621347,1012736,3271557,1048576,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam64_bw20_bo70,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,361393,355248,354462,6145,1048576,524288,734003,0,3838320,1049056,1632692,1049088,4613734,2068812,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam64_bw40_bo58,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,298755,295125,292674,3630,1048576,1048576,608174,0,5048972,1049056,1568211,1066496,652447,1620527,0,0,0
board_ef2_1bit_osr32_interp0_nominal_qam64_bw40_bo70,ef2_1bit_osr32_interp0,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,335989,321420,326972,14569,1048576,1048576,734003,0,4183435,1049056,1571159,1056768,3704969,1267029,0,0,0
board_nominal_qam16_bw20_bo58,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,342859,341810,340749,1049,262144,524288,608174,0,4048098,1049056,1632176,1046016,147169,1747627,0,0,0
board_nominal_qam16_bw20_bo70,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,388779,387450,387778,1329,262144,524288,734003,0,3354147,1049056,1646981,1043968,349525,4194304,0,0,0
board_nominal_qam16_bw40_bo58,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,309869,308515,307642,1354,262144,1048576,608174,0,4656749,1049056,1565796,1048576,233017,403298,0,0,0
board_nominal_qam16_bw40_bo70,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,346289,344878,343301,1411,262144,1048576,734003,0,3858450,1049056,1577188,1047040,100548,419430,0,0,0
board_nominal_qam64_bw20_bo58,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,313880,312711,312083,1169,1048576,524288,608174,0,4632455,1049056,1621347,1029120,331129,349525,0,0,0
board_nominal_qam64_bw20_bo70,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio,6,fallback_14,1,357810,356988,355233,822,1048576,524288,734003,0,3838320,1049056,1632692,1047040,2764428,3295525,0,0,0
board_nominal_qam64_bw40_bo58,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio,6,fallback_14,1,296375,294902,294825,1473,1048576,1048576,608174,0,5048972,1049056,1561572,1057792,326224,1887437,0,0,0
board_nominal_qam64_bw40_bo70,legacy_default_not_swept,temperature_q8_8;observation_error_l1,gain_ratio;peak_to_average;evm_ratio;acpr_ratio;spectral_ratio;spectral_shape,6,fallback_14,1,329845,328746,326732,1099,1048576,1048576,734003,0,4183435,1049056,1571159,1052672,196608,0,0,0,0
