condition_id,trace_id,profile_id,waveform_id,monitor_schema,monitor_sample_count,tree_package,tree_action,decision_path,decision_path_length,out_of_distribution,actual_safe,actual_cost,oracle_cost,actual_regret,raw_trace_monitor_match,raw_trace_mismatches,deployment_action
baseline_qam16_bw20_bo058_seed41,1,baseline,qam16_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,21328,21328,0,1,,fallback_14
baseline_qam16_bw20_bo058_seed53,2,baseline,qam16_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,31538,31538,0,1,,fallback_14
baseline_qam16_bw20_bo058_seed67,3,baseline,qam16_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,50498,50498,0,1,,fallback_14
baseline_qam16_bw20_bo070_seed41,4,baseline,qam16_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,13,4,0,1,,94253,,1,,fallback_14
baseline_qam16_bw20_bo070_seed53,5,baseline,qam16_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,4,3,0,1,,,,1,,fallback_14
baseline_qam16_bw20_bo070_seed67,6,baseline,qam16_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,4,3,0,1,,,,1,,fallback_14
baseline_qam16_bw40_bo058_seed41,7,baseline,qam16_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,20139,20139,0,1,,fallback_14
baseline_qam16_bw40_bo058_seed53,8,baseline,qam16_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,25794,25794,0,1,,fallback_14
baseline_qam16_bw40_bo058_seed67,9,baseline,qam16_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,61172,61172,0,1,,fallback_14
baseline_qam16_bw40_bo070_seed41,10,baseline,qam16_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,12,4,0,1,,71125,,1,,fallback_14
baseline_qam16_bw40_bo070_seed53,11,baseline,qam16_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,12,4,0,1,,83300,,1,,fallback_14
baseline_qam16_bw40_bo070_seed67,12,baseline,qam16_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,4,3,0,1,,,,1,,fallback_14
baseline_qam64_bw20_bo058_seed41,13,baseline,qam64_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,48016,48016,0,1,,fallback_14
baseline_qam64_bw20_bo058_seed53,14,baseline,qam64_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,20299,20299,0,1,,fallback_14
baseline_qam64_bw20_bo058_seed67,15,baseline,qam64_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,50791,50791,0,1,,fallback_14
baseline_qam64_bw20_bo070_seed41,16,baseline,qam64_bw20_bo070,aligned_complex_pa_monitor_v2,1152,4,direct_suggestion,11,4,0,1,89187,89187,0,1,,fallback_14
baseline_qam64_bw20_bo070_seed53,17,baseline,qam64_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,10,4,0,1,,73199,,1,,fallback_14
baseline_qam64_bw20_bo070_seed67,18,baseline,qam64_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,13,4,0,1,,113157,,1,,fallback_14
baseline_qam64_bw40_bo058_seed41,19,baseline,qam64_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,19708,19708,0,1,,fallback_14
baseline_qam64_bw40_bo058_seed53,20,baseline,qam64_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,20119,20119,0,1,,fallback_14
baseline_qam64_bw40_bo058_seed67,21,baseline,qam64_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,58410,58410,0,1,,fallback_14
baseline_qam64_bw40_bo070_seed41,22,baseline,qam64_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,12,4,0,1,,83313,,1,,fallback_14
baseline_qam64_bw40_bo070_seed53,23,baseline,qam64_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,12,4,0,1,,72654,,1,,fallback_14
baseline_qam64_bw40_bo070_seed67,24,baseline,qam64_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,13,4,0,1,,,,1,,fallback_14
gain_mid_low_qam16_bw20_bo058_seed41,25,gain_mid_low,qam16_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,23859,23859,0,1,,fallback_14
gain_mid_low_qam16_bw20_bo058_seed53,26,gain_mid_low,qam16_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,33391,33391,0,1,,fallback_14
gain_mid_low_qam16_bw20_bo058_seed67,27,gain_mid_low,qam16_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,52028,52028,0,1,,fallback_14
gain_mid_low_qam16_bw20_bo070_seed41,28,gain_mid_low,qam16_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,13,4,0,1,,98707,,1,,fallback_14
gain_mid_low_qam16_bw20_bo070_seed53,29,gain_mid_low,qam16_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,4,3,0,1,,,,1,,fallback_14
gain_mid_low_qam16_bw20_bo070_seed67,30,gain_mid_low,qam16_bw20_bo070,aligned_complex_pa_monitor_v2,1152,6,fallback_14,4,3,0,1,,,,1,,fallback_14
gain_mid_low_qam16_bw40_bo058_seed41,31,gain_mid_low,qam16_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,21073,21073,0,1,,fallback_14
gain_mid_low_qam16_bw40_bo058_seed53,32,gain_mid_low,qam16_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,26865,26865,0,1,,fallback_14
gain_mid_low_qam16_bw40_bo058_seed67,33,gain_mid_low,qam16_bw40_bo058,aligned_complex_pa_monitor_v2,2304,1,direct_suggestion,0,1,0,1,62740,62740,0,1,,fallback_14
gain_mid_low_qam16_bw40_bo070_seed41,34,gain_mid_low,qam16_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,12,4,0,1,,73718,,1,,fallback_14
gain_mid_low_qam16_bw40_bo070_seed53,35,gain_mid_low,qam16_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,12,4,0,1,,86185,,1,,fallback_14
gain_mid_low_qam16_bw40_bo070_seed67,36,gain_mid_low,qam16_bw40_bo070,aligned_complex_pa_monitor_v2,2304,6,fallback_14,4,3,0,1,,,,1,,fallback_14
gain_mid_low_qam64_bw20_bo058_seed41,37,gain_mid_low,qam64_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,48867,48867,0,1,,fallback_14
gain_mid_low_qam64_bw20_bo058_seed53,38,gain_mid_low,qam64_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,21074,21074,0,1,,fallback_14
gain_mid_low_qam64_bw20_bo058_seed67,39,gain_mid_low,qam64_bw20_bo058,aligned_complex_pa_monitor_v2,1152,1,direct_suggestion,0,1,0,1,52904,52904,0,1,,fallback_14
