held_profile,condition_id,oracle_package,action_package,action,decision_path,decision_path_length,out_of_distribution,safety_violation,regret,candidate_count,hybrid_package,hybrid_source,hybrid_safety_violation,hybrid_regret,hybrid_candidate_count
baseline,baseline_qam16_bw20_bo058_seed41,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam16_bw20_bo058_seed53,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam16_bw20_bo058_seed67,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam16_bw20_bo070_seed41,5,6,fallback_14,14,4,0,0,0.0,14,6,fallback_14,0,0.0,14
baseline,baseline_qam16_bw20_bo070_seed53,6,6,fallback_14,4,3,0,0,0.0,14,6,fallback_14,0,0.0,14
baseline,baseline_qam16_bw20_bo070_seed67,6,6,fallback_14,4,3,0,0,0.0,14,6,fallback_14,0,0.0,14
baseline,baseline_qam16_bw40_bo058_seed41,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam16_bw40_bo058_seed53,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam16_bw40_bo058_seed67,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam16_bw40_bo070_seed41,5,6,fallback_14,12,4,0,0,0.0,14,5,lut,0,0.0,1
baseline,baseline_qam16_bw40_bo070_seed53,5,6,fallback_14,12,4,0,0,0.0,14,5,lut,0,0.0,1
baseline,baseline_qam16_bw40_bo070_seed67,6,6,fallback_14,15,4,0,0,0.0,14,6,fallback_14,0,0.0,14
baseline,baseline_qam64_bw20_bo058_seed41,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam64_bw20_bo058_seed53,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam64_bw20_bo058_seed67,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam64_bw20_bo070_seed41,4,6,fallback_14,14,4,0,0,0.0,14,5,lut,0,19929.0,1
baseline,baseline_qam64_bw20_bo070_seed53,5,6,fallback_14,12,4,0,0,0.0,14,5,lut,0,0.0,1
baseline,baseline_qam64_bw20_bo070_seed67,5,6,fallback_14,14,4,0,0,0.0,14,5,lut,0,0.0,1
baseline,baseline_qam64_bw40_bo058_seed41,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam64_bw40_bo058_seed53,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam64_bw40_bo058_seed67,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
baseline,baseline_qam64_bw40_bo070_seed41,5,6,fallback_14,12,4,0,0,0.0,14,5,lut,0,0.0,1
baseline,baseline_qam64_bw40_bo070_seed53,5,6,fallback_14,12,4,0,0,0.0,14,6,fallback_14,0,0.0,14
baseline,baseline_qam64_bw40_bo070_seed67,6,6,fallback_14,15,4,0,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw20_bo058_seed41,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw20_bo058_seed53,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw20_bo058_seed67,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw20_bo070_seed41,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw20_bo070_seed53,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw20_bo070_seed67,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw40_bo058_seed41,1,6,fallback_14,0,1,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw40_bo058_seed53,1,6,fallback_14,0,1,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw40_bo058_seed67,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw40_bo070_seed41,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw40_bo070_seed53,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam16_bw40_bo070_seed67,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw20_bo058_seed41,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw20_bo058_seed53,1,6,fallback_14,0,1,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw20_bo058_seed67,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw20_bo070_seed41,4,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw20_bo070_seed53,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw20_bo070_seed67,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw40_bo058_seed41,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw40_bo058_seed53,1,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw40_bo058_seed67,1,6,fallback_14,0,1,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw40_bo070_seed41,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw40_bo070_seed53,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
combined_stress,combined_stress_qam64_bw40_bo070_seed67,6,6,fallback_14,0,0,1,0,0.0,14,6,fallback_14,0,0.0,14
gain_high,gain_high_qam16_bw20_bo058_seed41,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
gain_high,gain_high_qam16_bw20_bo058_seed53,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
gain_high,gain_high_qam16_bw20_bo058_seed67,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
gain_high,gain_high_qam16_bw20_bo070_seed41,5,6,fallback_14,12,4,0,0,0.0,14,6,fallback_14,0,0.0,14
gain_high,gain_high_qam16_bw20_bo070_seed53,6,6,fallback_14,4,3,0,0,0.0,14,6,fallback_14,0,0.0,14
gain_high,gain_high_qam16_bw20_bo070_seed67,6,6,fallback_14,4,3,0,0,0.0,14,6,fallback_14,0,0.0,14
gain_high,gain_high_qam16_bw40_bo058_seed41,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
gain_high,gain_high_qam16_bw40_bo058_seed53,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
gain_high,gain_high_qam16_bw40_bo058_seed67,1,1,direct,0,1,0,0,0.0,1,1,tree,0,0.0,1
gain_high,gain_high_qam16_bw40_bo070_seed41,5,6,fallback_14,12,4,0,0,0.0,14,5,lut,0,0.0,1
