split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
profile,baseline,baseline,qam16_bw20_bo058,41,1,33776.0789945911,343.5929329776045,6.96532900218151,-134.628954137516,2,1,33765.1716422918,332.685580678306,6.96476686668249,-134.625090931535,14,33432.4860616135,0.0,6.94740187877875,-134.520402813007,2,33432.4860616135,301,15,26761,0,5,100,local_search,14,33432.4860616135,0.0,6.94740187877875,-134.520402813007,332.685580678306,1
profile,baseline,baseline,qam16_bw20_bo058,53,1,34813.307385831,321.88962264190195,8.09733989921187,-142.79792757703,2,1,34802.8330669952,311.41530380609765,8.09699184132653,-142.798545213397,14,34491.4177631891,0.0,8.08025120318752,-143.176768324499,2,34491.4177631891,318,6,52430,0,5,100,local_search,14,34491.4177631891,0.0,8.08025120318752,-143.176768324499,311.41530380609765,1
profile,baseline,baseline,qam16_bw20_bo058,67,1,33765.9313998525,-78.29864998079574,8.34051666702172,-132.979036437967,2,1,33752.4204388569,-91.80961097640102,8.33951591449065,-132.982008131373,14,33844.2300498333,0.0,8.33968162032492,-132.941504376413,2,33844.2300498333,0,0,17270,0,5,100,local_search,14,33844.2300498333,0.0,8.33968162032492,-132.941504376413,-91.80961097640102,1
profile,baseline,baseline,qam16_bw20_bo070,41,1,41693.0704655915,829.9906204428044,7.22579668771264,-134.440329043243,5,1,41474.8867450672,611.806899918498,7.21763348423564,-134.443621192898,14,40863.0798451487,0.0,7.18713562750675,-134.345660122929,5,40863.0798451487,496,39,34797,0,5,100,local_search,14,40863.0798451487,0.0,7.18713562750675,-134.345660122929,611.806899918498,1
profile,baseline,baseline,qam16_bw20_bo070,53,1,42433.0650355569,404.7807425889987,8.33347913844835,-142.642498433262,5,1,42239.6260077915,211.3417148235967,8.32690132441137,-142.643495387518,14,42028.2842929679,0.0,8.31287298610174,-143.030956191776,5,42028.2842929679,226,1,47467,0,5,100,local_search,14,42028.2842929679,0.0,8.31287298610174,-143.030956191776,211.3417148235967,1
profile,baseline,baseline,qam16_bw20_bo070,67,1,35556.719076799,273.612255644206,8.36553203992152,-133.018926644782,5,1,35416.1672423613,133.0604212065009,8.36227374795816,-133.016633974161,14,35283.1068211548,0.0,8.35398627537275,-132.976468977957,5,35283.1068211548,105,7,33651,0,5,100,local_search,14,35283.1068211548,0.0,8.35398627537275,-132.976468977957,133.0604212065009,1
profile,baseline,baseline,qam16_bw40_bo058,41,1,30414.7830628006,-77.38154685289919,4.83552955198147,-144.346828097881,2,1,30387.4947631635,-104.66984649000005,4.83293490781343,-144.339172118347,14,30492.1646096535,0.0,4.8287812651613,-144.363494009346,2,30492.1646096535,0,0,19772,5,5,100,direct,1,30387.4947631635,-104.66984649000005,4.83293490781343,-144.339172118347,-104.66984649000005,1
profile,baseline,baseline,qam16_bw40_bo058,53,1,32246.4167149805,60.49707767799919,6.0502319812486,-144.488993139032,2,1,32226.1759750106,40.25633770809873,6.05043368194156,-144.474635876523,14,32185.9196373025,0.0,6.05352376435562,-144.406797867634,2,32185.9196373025,0,0,43834,5,5,100,direct,1,32226.1759750106,40.25633770809873,6.05043368194156,-144.474635876523,40.25633770809873,1
profile,baseline,baseline,qam16_bw40_bo058,67,1,31736.1588841192,-20.465225773499697,6.18358400859091,-147.821909495936,2,1,31713.9375824184,-42.68652747429951,6.18238694134138,-147.815774021666,14,31756.6241098927,0.0,6.1787531810694,-147.793771131623,2,31756.6241098927,1,2,27723,5,5,100,direct,1,31713.9375824184,-42.68652747429951,6.18238694134138,-147.815774021666,-42.68652747429951,1
profile,baseline,baseline,qam16_bw40_bo070,41,1,36730.7006011846,628.3831349631,5.08801836450413,-144.002252432902,5,1,36530.1102373662,427.7927711446973,5.07816707429609,-144.008217503896,14,36105.8699103567,3.552444135195401,5.05215824293779,-144.035757325998,1,36102.3174662215,406,5,32129,0,5,100,local_search,14,36105.8699103567,3.552444135195401,5.05215824293779,-144.035757325998,427.7927711446973,1
