split,held_group,profile_id,waveform_id,simulation_seed,fixed_package_3_candidates,fixed_package_3_cost,fixed_package_3_regret,fixed_package_3_evm_pct,fixed_package_3_aclr_db,knn_seed,knn_seed_candidates,knn_seed_cost,knn_seed_regret,knn_seed_evm_pct,knn_seed_aclr_db,unconditional_local_candidates,unconditional_local_final_cost,unconditional_local_regret,unconditional_local_evm_pct,unconditional_local_aclr_db,best_seed,best_final_cost,predicted_regret,predicted_uncertainty,nearest_feature_distance_ppm,safe_neighbor_count,safety_neighbor_count,regret_budget,action,gated_candidates,gated_final_cost,gated_regret,gated_evm_pct,gated_aclr_db,direct_actual_regret,direct_validation_ok
waveform,qam16_bw20_bo058,baseline,qam16_bw20_bo058,41,1,33776.0789945911,343.5929329776045,6.96532900218151,-134.628954137516,5,1,33791.1182707688,358.6322091553011,6.96612008794967,-134.63264111718,14,33457.517616328,25.03155471450009,6.94880524857879,-134.527834595549,2,33432.4860616135,811,45,1523749,0,5,100,local_search,14,33457.517616328,25.03155471450009,6.94880524857879,-134.527834595549,358.6322091553011,1
waveform,qam16_bw20_bo058,baseline,qam16_bw20_bo058,53,1,34813.307385831,321.88962264190195,8.09733989921187,-142.79792757703,5,1,34832.1893888156,340.77162562649755,8.09781958157546,-142.799650011674,14,34497.3524984039,5.934735214803368,8.08048184657457,-143.17920247346,2,34491.4177631891,0,0,1150204,0,5,100,local_search,14,34497.3524984039,5.934735214803368,8.08048184657457,-143.17920247346,340.77162562649755,1
waveform,qam16_bw20_bo058,baseline,qam16_bw20_bo058,67,1,33765.9313998525,-78.29864998079574,8.34051666702172,-132.979036437967,5,1,33779.6648710792,-64.56517875409918,8.34136470985741,-132.977738053074,14,33889.8895058693,45.659456036002666,8.34222597599737,-132.936555632236,2,33844.2300498333,42,38,1089690,0,5,100,local_search,14,33889.8895058693,45.659456036002666,8.34222597599737,-132.936555632236,-64.56517875409918,1
waveform,qam16_bw20_bo058,combined_stress,qam16_bw20_bo058,41,1,79619.2020289,1472.3808557082084,9.52286986547662,-135.219387529029,5,1,79698.3628140719,1551.5416408800957,9.52758591631846,-135.223153077117,14,78346.0160875752,199.19491438340629,9.36044785486044,-134.623581350703,2,78146.8211731918,1376,2,1440010,0,5,100,local_search,14,78346.0160875752,199.19491438340629,9.36044785486044,-134.623581350703,1551.5416408800957,1
waveform,qam16_bw20_bo058,combined_stress,qam16_bw20_bo058,53,1,81155.3631409689,1670.404743279796,10.4243965723292,-141.655562227056,5,1,81238.7463997122,1753.788002023095,10.4288561565342,-141.656118920917,14,79664.7712062139,179.81280852480268,10.2152933483677,-143.339987183369,2,79484.9583976891,0,0,1567585,0,5,100,local_search,14,79664.7712062139,179.81280852480268,10.2152933483677,-143.339987183369,1753.788002023095,1
waveform,qam16_bw20_bo058,combined_stress,qam16_bw20_bo058,67,1,78495.4433786621,-291.90287099190755,10.4256882801666,-133.148258698487,5,1,78573.0179009813,-214.3283486727014,10.4300719023224,-133.146631755197,14,78992.4347962662,205.08854661219812,10.4608924802635,-132.91795405359,2,78787.346249654,0,0,1083501,0,5,100,local_search,14,78992.4347962662,205.08854661219812,10.4608924802635,-132.91795405359,-214.3283486727014,1
waveform,qam16_bw20_bo058,gain_high,qam16_bw20_bo058,41,1,33921.327245212,363.6013696713999,6.96861926051792,-134.608109949273,5,1,33894.0252362474,336.2993607067983,6.96802936127771,-134.611780036014,14,33557.7258755406,0.0,6.95018959995662,-134.506932390218,5,33557.7258755406,798,49,1892487,0,5,100,local_search,14,33557.7258755406,0.0,6.95018959995662,-134.506932390218,336.2993607067983,1
waveform,qam16_bw20_bo058,gain_high,qam16_bw20_bo058,53,1,34981.1050927924,301.9178898559985,8.10125813214339,-142.768036806554,5,1,34963.063192473,283.8759895365947,8.10067004107801,-142.76980204384,14,34679.1872029364,0.0,8.08490957690214,-143.151624000504,5,34679.1872029364,20,3,1283024,0,5,100,local_search,14,34679.1872029364,0.0,8.08490957690214,-143.151624000504,283.8759895365947,1
waveform,qam16_bw20_bo058,gain_high,qam16_bw20_bo058,67,1,33911.2059683379,-19.348421553899243,8.34085743477889,-132.99874042626,5,1,33882.886693179,-47.66769671279326,8.34052320508404,-132.997483741328,14,33930.5543898918,0.0,8.33925769819097,-132.956466205161,5,33930.5543898918,234,6,1103861,0,5,100,local_search,14,33930.5543898918,0.0,8.33925769819097,-132.956466205161,-47.66769671279326,1
waveform,qam16_bw20_bo058,gain_low,qam16_bw20_bo058,41,1,36687.4501192272,807.0603504749015,7.06774350461328,-134.708278860082,5,1,36854.45846917,974.0687004177016,7.07389273154274,-134.712154719128,14,36300.8510524909,420.4612837386012,7.04908612427298,-134.603005021587,2,35880.3897687523,451,15,1445490,0,5,100,local_search,14,36300.8510524909,420.4612837386012,7.04908612427298,-134.603005021587,974.0687004177016,1
waveform,qam16_bw20_bo058,gain_low,qam16_bw20_bo058,53,1,37318.9061309505,883.4451819394963,8.17394331050239,-142.906852679188,5,1,37471.2725013697,1035.8115523586966,8.17856872537811,-142.908520285498,14,36799.2580699203,363.79712090930116,8.1504694338658,-143.286500090178,2,36435.460949011,0,0,1147626,0,5,100,local_search,14,36799.2580699203,363.79712090930116,8.1504694338658,-143.286500090178,1035.8115523586966,1
waveform,qam16_bw20_bo058,gain_low,qam16_bw20_bo058,67,1,36539.4967049518,175.74349347940006,8.43183316635513,-132.912592629267,5,1,36702.6964526512,338.94324117880024,8.43721177296098,-132.911131740757,14,36787.6793419811,423.9261305086984,8.43797180273461,-132.873602868391,2,36363.7532114724,0,0,1084601,0,5,100,local_search,14,36787.6793419811,423.9261305086984,8.43797180273461,-132.873602868391,338.94324117880024,1
waveform,qam16_bw20_bo058,gain_mid_low,qam16_bw20_bo058,41,1,34421.6832243565,447.23397299349745,6.98848460890158,-134.662720669832,5,1,34503.6685109086,529.2192595455999,6.99150064803432,-134.666477690663,14,34177.56965627,203.1204049070002,6.97480931277461,-134.561693164982,2,33974.449251363,559,69,1666779,0,5,100,local_search,14,34177.56965627,203.1204049070002,6.97480931277461,-134.561693164982,529.2192595455999,1
waveform,qam16_bw20_bo058,gain_mid_low,qam16_bw20_bo058,53,1,35340.2749160209,572.0206813783952,8.11370543704427,-142.84482201415,5,1,35417.7256044637,649.4713698211999,8.1159064350181,-142.846513310743,14,34923.071374645,154.81714000249485,8.09382927477305,-143.228077269338,2,34768.2542346425,171,7,1327710,0,5,100,local_search,14,34923.071374645,154.81714000249485,8.09382927477305,-143.228077269338,649.4713698211999,1
waveform,qam16_bw20_bo058,gain_mid_low,qam16_bw20_bo058,67,1,34379.826666521,35.50059412819974,8.36288435957844,-132.950021877569,5,1,34459.4420972655,115.11602487269556,8.36561692189213,-132.948654831629,14,34542.7708586373,198.44478624449403,8.36574269797969,-132.912505350587,2,34344.3260723928,0,0,1091990,0,5,100,local_search,14,34542.7708586373,198.44478624449403,8.36574269797969,-132.912505350587,115.11602487269556,1
waveform,qam16_bw20_bo058,memory_short,qam16_bw20_bo058,41,1,29883.1597744557,359.4423558620001,6.82931409216532,-134.582137630393,5,1,29835.4939746949,311.77655610119837,6.82819163795456,-134.585686403605,14,29523.7174185937,0.0,6.8106740204786,-134.482234364387,5,29523.7174185937,163,81,2604961,0,5,100,local_search,14,29523.7174185937,0.0,6.8106740204786,-134.482234364387,311.77655610119837,1
waveform,qam16_bw20_bo058,memory_short,qam16_bw20_bo058,53,1,30566.6406918862,289.5976958928004,7.99024951176727,-142.748782685429,5,1,30530.9394614223,253.8964654288975,7.98925720878062,-142.750463490446,14,30277.0429959934,0.0,7.97469232643336,-143.135173130001,5,30277.0429959934,0,0,1169451,0,5,100,local_search,14,30277.0429959934,0.0,7.97469232643336,-143.135173130001,253.8964654288975,1
waveform,qam16_bw20_bo058,memory_short,qam16_bw20_bo058,67,1,29647.7743526112,27.860133663099987,8.22038074031156,-133.005156863691,5,1,29599.3045258967,-20.609693051399518,8.219633859074,-133.003882233616,14,29619.9142189481,0.0,8.21740744553937,-132.965273542181,5,29619.9142189481,46,42,1069609,0,5,100,local_search,14,29619.9142189481,0.0,8.21740744553937,-132.965273542181,-20.609693051399518,1
waveform,qam16_bw20_bo058,noise_high,qam16_bw20_bo058,41,1,53385.9670666445,1240.2492613370996,7.53337154425092,-134.844611254956,5,1,53395.4996657441,1249.7818604366985,7.53404417389674,-134.848471302777,14,52157.3740068492,11.656201541794871,7.43775548880612,-134.260212902904,4,52145.7178053074,893,4,1454639,0,5,100,local_search,14,52157.3740068492,11.656201541794871,7.43775548880612,-134.260212902904,1249.7818604366985,1
