held_profile,condition_id,profile_id,oracle_package,selected_seed,seed_source,seed_safe,seed_regret,nearest_distance,safe_support,expected_safe_cost,mandatory_search_candidates,deployment_action,seed_safety_violation
final_blind,blind_gain_memory_qam16_bw20_bo058_seed41,blind_gain_memory,1,1,safety_knn,1,0.000000,0.642735,7,53043.285714,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw20_bo058_seed53,blind_gain_memory,1,1,safety_knn,1,0.000000,0.646553,7,62147.142857,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw20_bo058_seed67,blind_gain_memory,1,1,safety_knn,1,0.000000,0.741589,7,79931.428571,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw20_bo070_seed41,blind_gain_memory,5,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw20_bo070_seed53,blind_gain_memory,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw20_bo070_seed67,blind_gain_memory,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw40_bo058_seed41,blind_gain_memory,2,1,safety_knn,1,978.000000,0.691155,7,51807.714286,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw40_bo058_seed53,blind_gain_memory,1,1,safety_knn,1,0.000000,1.555847,7,47568.000000,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw40_bo058_seed67,blind_gain_memory,2,2,safety_knn,1,0.000000,0.706020,7,90546.142857,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw40_bo070_seed41,blind_gain_memory,5,5,safety_knn,1,0.000000,0.965144,7,90864.142857,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw40_bo070_seed53,blind_gain_memory,5,5,safety_knn,1,0.000000,2.119924,7,92322.857143,14,fallback_14,0
final_blind,blind_gain_memory_qam16_bw40_bo070_seed67,blind_gain_memory,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw20_bo058_seed41,blind_gain_memory,1,1,safety_knn,1,0.000000,0.535930,7,78561.714286,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw20_bo058_seed53,blind_gain_memory,2,1,safety_knn,1,670.000000,0.613349,7,50309.857143,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw20_bo058_seed67,blind_gain_memory,2,1,safety_knn,1,356.000000,0.579276,7,79539.000000,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw20_bo070_seed41,blind_gain_memory,4,4,safety_knn,1,0.000000,0.673898,7,105294.142857,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw20_bo070_seed53,blind_gain_memory,5,5,safety_knn,1,0.000000,0.753956,7,88392.285714,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw20_bo070_seed67,blind_gain_memory,5,5,safety_knn,1,0.000000,0.700866,7,124051.571429,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw40_bo058_seed41,blind_gain_memory,1,1,safety_knn,1,0.000000,0.829338,7,49935.428571,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw40_bo058_seed53,blind_gain_memory,2,1,safety_knn,1,415.000000,0.696149,7,75153.142857,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw40_bo058_seed67,blind_gain_memory,2,1,safety_knn,1,1515.000000,0.703307,7,77266.857143,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw40_bo070_seed41,blind_gain_memory,5,5,safety_knn,1,0.000000,0.851203,7,97123.142857,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw40_bo070_seed53,blind_gain_memory,5,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_gain_memory_qam64_bw40_bo070_seed67,blind_gain_memory,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw20_bo058_seed41,blind_compression_noise,1,1,safety_knn,1,0.000000,0.639152,7,39815.285714,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw20_bo058_seed53,blind_compression_noise,1,1,safety_knn,1,0.000000,0.558575,7,43637.142857,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw20_bo058_seed67,blind_compression_noise,1,1,safety_knn,1,0.000000,0.792650,7,66177.857143,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw20_bo070_seed41,blind_compression_noise,5,5,safety_knn,1,0.000000,0.788241,7,99918.857143,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw20_bo070_seed53,blind_compression_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw20_bo070_seed67,blind_compression_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw40_bo058_seed41,blind_compression_noise,1,1,safety_knn,1,0.000000,0.989499,7,41205.857143,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw40_bo058_seed53,blind_compression_noise,1,1,safety_knn,1,0.000000,0.774835,7,38751.000000,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw40_bo058_seed67,blind_compression_noise,1,1,safety_knn,1,0.000000,0.698363,7,73767.428571,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw40_bo070_seed41,blind_compression_noise,5,5,safety_knn,1,0.000000,0.684060,7,75621.571429,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw40_bo070_seed53,blind_compression_noise,5,5,safety_knn,1,0.000000,0.896657,7,80278.428571,14,fallback_14,0
final_blind,blind_compression_noise_qam16_bw40_bo070_seed67,blind_compression_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw20_bo058_seed41,blind_compression_noise,1,1,safety_knn,1,0.000000,0.989231,7,61155.000000,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw20_bo058_seed53,blind_compression_noise,1,1,safety_knn,1,0.000000,0.757914,7,36197.571429,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw20_bo058_seed67,blind_compression_noise,1,1,safety_knn,1,0.000000,0.542304,7,62116.571429,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw20_bo070_seed41,blind_compression_noise,4,4,safety_knn,1,0.000000,0.535165,7,97534.571429,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw20_bo070_seed53,blind_compression_noise,5,5,safety_knn,1,0.000000,0.753428,7,78151.428571,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw20_bo070_seed67,blind_compression_noise,5,5,safety_knn,1,0.000000,0.491596,7,116524.714286,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw40_bo058_seed41,blind_compression_noise,1,1,safety_knn,1,0.000000,0.487489,7,32251.714286,14,fallback_14,0
final_blind,blind_compression_noise_qam64_bw40_bo058_seed53,blind_compression_noise,1,1,safety_knn,1,0.000000,0.954130,7,48559.142857,14,fallback_14,0
