held_profile,condition_id,profile_id,oracle_package,selected_seed,seed_source,seed_safe,seed_regret,nearest_distance,safe_support,expected_safe_cost,mandatory_search_candidates,deployment_action,seed_safety_violation
dev_combined_noise,dev_combined_noise_qam16_bw20_bo058_seed41,dev_combined_noise,1,1,safety_knn,1,0.000000,1.871270,7,77944.142857,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw20_bo058_seed53,dev_combined_noise,1,1,safety_knn,1,0.000000,1.880400,7,74549.428571,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw20_bo058_seed67,dev_combined_noise,1,1,safety_knn,1,0.000000,0.897126,7,88897.000000,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw20_bo070_seed41,dev_combined_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw20_bo070_seed53,dev_combined_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw20_bo070_seed67,dev_combined_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw40_bo058_seed41,dev_combined_noise,1,1,safety_knn,1,0.000000,2.351828,7,68800.142857,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw40_bo058_seed53,dev_combined_noise,1,1,safety_knn,1,0.000000,1.259511,7,69414.285714,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw40_bo058_seed67,dev_combined_noise,1,1,safety_knn,1,0.000000,0.897841,7,97292.571429,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw40_bo070_seed41,dev_combined_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw40_bo070_seed53,dev_combined_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam16_bw40_bo070_seed67,dev_combined_noise,6,6,fallback_14,,,,0,,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam64_bw20_bo058_seed41,dev_combined_noise,1,1,safety_knn,1,0.000000,0.922575,7,92445.000000,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam64_bw20_bo058_seed53,dev_combined_noise,1,1,safety_knn,1,0.000000,0.933436,7,80086.714286,14,fallback_14,0
dev_combined_noise,dev_combined_noise_qam64_bw20_bo058_seed67,dev_combined_noise,1,1,safety_knn,1,0.000000,1.123923,7,91368.142857,14,fallback_14,0
