candidate_id,round,stage,decision,reason,mode,package,searched,c1,c3,c5,proxy_evm_ppm,proxy_sndr_mdB,input_power,output_power,saturation,clip,error,stall,peak,avg_mag,evm_proxy,acpr_proxy,spec_bin0,spec_bin1,spec_bin2,spec_adj,cost
1,0,policy,selected,policy_replay,1,2,1,0x01893E75,0xF72A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AE5A29,0x07FAF00A,0x002AFFAA,0x001CFFC6,0x001AFFCA,0x0045FF74,316604
2,0,search,accept,lower_cost,1,2,1,0x01893E35,0xF72A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD06CF,0x080EEFE2,0x0000FFFE,0x0012FFDA,0x000CFFE6,0x000DFFE4,313959
3,0,search,reject,not_lower_cost,1,2,1,0x01893E75,0xF72A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AE5A29,0x07FAF00A,0x002AFFAA,0x001CFFC6,0x001AFFCA,0x0045FF74,316604
4,0,search,reject,not_lower_cost,1,2,1,0x01493E35,0xF72A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD0FEC,0x07FEF002,0x0018FFCE,0x0004FFF6,0x001EFFC2,0x0037FF90,315633
5,0,search,reject,not_lower_cost,1,2,1,0x01C93E35,0xF72A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02ACFF03,0x082AEFAA,0x0011FFDC,0x003BFF88,0x0001FFFC,0x0013FFD8,316128
6,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF72A1D9B,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02ACF0AF,0x07DCF046,0x0010FFDE,0x0012FFDA,0x0060FF3E,0x0071FF1C,317138
7,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF72A1E1B,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD1D35,0x07D0F05E,0x0054FF56,0x0030FF9E,0x001EFFC2,0x0073FF18,316543
8,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF6EA1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD0820,0x0806EFF2,0x0012FFDA,0x001CFFC6,0x0046FF72,0x0059FF4C,318313
9,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF76A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD05C5,0x081AEFCA,0x0017FFD0,0x0029FFAC,0x002DFFA4,0x0045FF74,318310
10,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF72A1DDB,0xC13D5316,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD045E,0x080CEFE6,0x0016FFD2,0x0012FFDA,0x003CFF86,0x0053FF58,318309
11,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF72A1DDB,0xC13D5396,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD0930,0x0822EFBA,0x0020FFBE,0x0022FFBA,0x000AFFEA,0x002BFFA8,317162
12,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF72A1DDB,0xC0FD5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD06FE,0x07E6F032,0x003AFF8A,0x0028FFAE,0x0002FFFA,0x003DFF84,314472
13,0,search,reject,not_lower_cost,1,2,1,0x01893E35,0xF72A1DDB,0xC17D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD06B4,0x07FEF002,0x003BFF88,0x0013FFD8,0x0035FF94,0x0071FF1C,319336
14,0,final,selected,final_replay,1,2,1,0x01893E35,0xF72A1DDB,0xC13D5356,5671,44926,0x01BD8D41,0x07FFF000,0x00000000,0x00000000,0x00000000,0x00000000,0x7FFF6162,0x7FF00450,0x02AD06CF,0x080EEFE2,0x0000FFFE,0x0012FFDA,0x000CFFE6,0x000DFFE4,313959
