config,part,generic,lut,ff,dsp,bram,wns_ns,fmax_est_mhz,dynamic_power_w,total_power_w
bypass,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=0 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=0 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=1",52,75,0,0,9.221,1283.697,0.001,0.709
poly3,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=1 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=0 DPD_POLY_ORDER=3 DPD_MP_MAX_TAPS=1",471,576,18,0,7.044,338.295,0.021,0.729
poly5,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=1 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=0 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=1",505,644,26,0,6.572,291.715,0.030,0.738
poly7,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=1 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=0 DPD_POLY_ORDER=7 DPD_MP_MAX_TAPS=1",691,676,34,0,5.911,244.559,0.041,0.750
lut,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=0 ENABLE_DPD_LUT=1 ENABLE_DPD_MEMORY=0 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=1",199,141,4,0,9.163,1194.743,0.003,0.711
memory1,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=0 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=1 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=1",677,873,30,0,6.572,291.715,0.020,0.728
memory2,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=0 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=1 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=2",1300,1620,60,0,6.572,291.715,0.037,0.746
memory4,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=0 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=1 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=4",2480,3058,120,0,6.572,291.715,0.069,0.778
memory6,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=0 ENABLE_DPD_LUT=0 ENABLE_DPD_MEMORY=1 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=6",3658,4494,180,0,6.572,291.715,0.102,0.811
development_all,xczu15eg-ffvb1156-2-i,"ENABLE_DPD_POLY=1 ENABLE_DPD_LUT=1 ENABLE_DPD_MEMORY=1 DPD_POLY_ORDER=5 DPD_MP_MAX_TAPS=4 RUNTIME_MODE_INPUT=1",3077,3691,150,0,6.572,291.715,0.100,0.809
