Part,Flow,Top,Algorithm,AlgorithmName,InterpMode,InterpName,DucMode,Status,LUT,FF,DSP,WNS_ns,Fmax_est_MHz
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg0_interp0,0,LPDSM_1b,0,bypass,0,PASS,353,352,0,8.854,872.60
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg0_interp1,0,LPDSM_1b,1,x4_halfband,0,PASS,3864,3984,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg0_interp2,0,LPDSM_1b,2,x8_halfband,0,PASS,5616,5802,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg0_interp3,0,LPDSM_1b,3,x16_halfband,0,PASS,7376,7620,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg0_interp4,0,LPDSM_1b,4,x32_hb_cic_equiv_comp_fir,0,PASS,7827,8167,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg1_interp0,1,LPDSM2_1b,0,bypass,0,PASS,516,368,0,6.194,262.74
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg1_interp1,1,LPDSM2_1b,1,x4_halfband,0,PASS,4028,4000,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg1_interp2,1,LPDSM2_1b,2,x8_halfband,0,PASS,5780,5818,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg1_interp3,1,LPDSM2_1b,3,x16_halfband,0,PASS,7540,7636,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg1_interp4,1,LPDSM2_1b,4,x32_hb_cic_equiv_comp_fir,0,PASS,7991,8183,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg2_interp0,2,EFDSM_1b,0,bypass,0,PASS,429,344,0,7.427,388.65
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg2_interp1,2,EFDSM_1b,1,x4_halfband,0,PASS,3940,3976,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg2_interp2,2,EFDSM_1b,2,x8_halfband,0,PASS,5692,5794,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg2_interp3,2,EFDSM_1b,3,x16_halfband,0,PASS,7452,7612,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg2_interp4,2,EFDSM_1b,4,x32_hb_cic_equiv_comp_fir,0,PASS,7903,8159,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg3_interp0,3,EFDSM2_1b,0,bypass,0,PASS,564,400,0,6.398,277.62
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg3_interp1,3,EFDSM2_1b,1,x4_halfband,0,PASS,4077,4032,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg3_interp2,3,EFDSM2_1b,2,x8_halfband,0,PASS,5826,5850,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg3_interp3,3,EFDSM2_1b,3,x16_halfband,0,PASS,7586,7668,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg3_interp4,3,EFDSM2_1b,4,x32_hb_cic_equiv_comp_fir,0,PASS,8037,8215,1278,5.847,240.79
