Part,Top,Status,LUT,FF,DSP,WNS_ns,Fmax_est_MHz
xc7z020clg400-1,p0_ooc_lp1,PASS,104,71,0,6.557,290.44
xc7z020clg400-1,p0_ooc_lp2,PASS,270,87,0,0.165,101.68
xc7z020clg400-1,p0_ooc_ef1,PASS,182,63,0,2.221,128.55
xc7z020clg400-1,p0_ooc_ef2,PASS,316,119,0,0.080,100.81
xc7z020clg400-1,p0_ooc_mash11,PASS,274,102,0,2.811,139.10
xc7z020clg400-1,p0_ooc_mash111,PASS,398,148,0,2.594,135.03
xc7z020clg400-1,p0_ooc_mash22,PASS,276,179,8,0.455,104.77
xc7z020clg400-1,p0_ooc_mb_lp1,PASS,492,60,0,1.466,117.18
xc7z020clg400-1,p0_ooc_mb_lp2,PASS,619,96,0,0.018,100.18
xc7z020clg400-1,p0_ooc_mb_ef1,PASS,504,60,0,1.392,116.17
xc7z020clg400-1,p0_ooc_mb_ef2,FAIL_TIMING,596,92,0,-0.093,99.08
xc7z020clg400-1,p0_ooc_mb_mash11,PASS,975,116,0,0.960,110.62
xc7z020clg400-1,p0_ooc_mb_mash111,PASS,1467,180,0,0.016,100.16
xc7z020clg400-1,p0_ooc_mb_mash22,FAIL_TIMING,1203,188,0,-0.688,93.56
